Unnamed: 0,cell_type,pt_root_id,pt_x,pt_y,pt_z
40434,4P,864691135345123999,287936,140832,21471
40435,23P,864691136286598083,287904,135824,21424
40436,23P,864691135780831312,288944,129088,21635
40437,4P,864691135560526049,289664,141056,21132
40438,23P,864691135099865888,289712,132528,21484
40439,23P,864691136973776412,291280,129328,21342
40440,4P,864691134947439356,291488,138528,21794
40441,23P,864691136482899756,292032,135920,21169
40442,23P,864691136723360253,291952,134320,21726
40443,23P,864691135695975578,292224,131584,21191
40444,23P,864691135415477178,278528,128928,22525
40445,23P,864691136388268919,281408,129728,22126
40446,23P,864691135103993165,281568,135760,22341
40447,4P,864691135117802205,283536,143120,22342
40448,4P,864691136236717583,283952,142736,21918
40449,23P,864691135617745295,285136,137264,22054
40450,23P,864691135815451215,285120,134688,22293
40451,23P,864691135737486193,285488,129936,22535
40452,23P,864691135864080254,285808,133040,22484
40453,23P,864691135758829646,282608,132336,22291
40454,23P,864691135497942547,283184,137584,21029
40455,4P,864691135194755114,294096,146112,16895
40456,23P,864691137019953518,281072,136464,21750
40457,23P,864691135345541791,286048,130416,20695
40458,23P,864691135538474098,284368,134912,21145
40460,23P,864691135945940772,290192,136928,20606
40461,4P,864691135382860762,290944,155488,17160
40462,23P,864691135472339250,283328,132848,21964
40463,4P,864691135407583433,291856,144352,16497
40464,4P,864691135345178015,286336,143584,22107
40465,23P,864691135679103299,287504,139136,22315
40466,23P,864691135866384662,287936,141184,22090
40467,23P,864691135937223428,287872,135904,22489
40468,23P,864691135462782270,288192,128064,22455
40469,23P,864691136601572305,288896,133600,21988
40470,4P,864691136309672026,290656,142592,22265
